path,top_label,top_score,embedding_engine,classification_engine
accessible_layer_translation.md,ontological argument,0.5,deterministic-fallback,deterministic-fallback
backup-of-pregraph_ALL.GN-SC-AR_005812.md,Old Testament violence,0.3333,deterministic-fallback,deterministic-fallback
div-class_SY.SC-AX-GN_005811.html,slavery in the Bible,0.3333,deterministic-fallback,deterministic-fallback
executive_summary_layers.md,evidence for God existence,0.5,deterministic-fallback,deterministic-fallback
proof-grader-report_TP.LG-AR-CO_005810.md,evidence for God existence,0.5,deterministic-fallback,deterministic-fallback
